epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39797.2,1.31663,0.99175,1.187,0.78818,0.74946,0.80486,0.46868,1.45906,0.94517,1.26505,0.000494544,0.000494544,0.000494544
43,40589.5,1.30763,0.97316,1.18534,0.7959,0.74726,0.81112,0.47244,1.46862,0.94298,1.25999,0.00048301,0.00048301,0.00048301
44,41355.5,1.30355,0.96342,1.1721,0.77457,0.7645,0.81505,0.47193,1.47049,0.93398,1.24778,0.000471382,0.000471382,0.000471382
45,42143.3,1.29923,0.95826,1.17703,0.7748,0.74921,0.81179,0.47171,1.47079,0.9379,1.26386,0.000459673,0.000459673,0.000459673
46,42979.7,1.29415,0.93831,1.17219,0.80883,0.74321,0.82131,0.4806,1.46126,0.91966,1.25755,0.000447893,0.000447893,0.000447893
47,43769.9,1.30073,0.94644,1.17951,0.78174,0.76226,0.81731,0.47244,1.47865,0.93548,1.27161,0.000436054,0.000436054,0.000436054
48,44530.1,1.29623,0.93449,1.17969,0.78783,0.76642,0.82593,0.48458,1.45992,0.91186,1.26748,0.000424168,0.000424168,0.000424168
49,45294,1.27368,0.93078,1.17246,0.78722,0.77205,0.82368,0.48335,1.45664,0.90362,1.26887,0.000412247,0.000412247,0.000412247
50,46059.1,1.27466,0.90772,1.1629,0.81896,0.7343,0.82563,0.48155,1.46359,0.91547,1.26597,0.000400302,0.000400302,0.000400302
51,46825.6,1.2687,0.89398,1.16141,0.80839,0.74654,0.82143,0.48179,1.45676,0.91464,1.2583,0.000388345,0.000388345,0.000388345
52,47697.6,1.26424,0.89736,1.16052,0.80203,0.75767,0.82319,0.48324,1.4656,0.90679,1.26663,0.000376388,0.000376388,0.000376388
53,48509,1.26504,0.89992,1.16196,0.8306,0.76016,0.82791,0.48746,1.46362,0.88956,1.26094,0.000364443,0.000364443,0.000364443
54,49319,1.24892,0.8765,1.15437,0.80583,0.75611,0.82083,0.48388,1.4549,0.88981,1.25522,0.000352522,0.000352522,0.000352522
55,50118.7,1.2522,0.8769,1.15703,0.78691,0.7764,0.82713,0.48218,1.46848,0.89987,1.26226,0.000340636,0.000340636,0.000340636
56,50895,1.23497,0.87151,1.1449,0.79368,0.76506,0.82088,0.48011,1.45788,0.90024,1.26501,0.000328797,0.000328797,0.000328797
57,51639.6,1.23642,0.86422,1.15401,0.81896,0.76551,0.82794,0.48249,1.46495,0.89139,1.26675,0.000317017,0.000317017,0.000317017
58,52387.9,1.22167,0.8575,1.14176,0.8193,0.77335,0.83506,0.48973,1.4614,0.87435,1.26613,0.000305308,0.000305308,0.000305308
59,53147.9,1.24967,0.86133,1.1547,0.80219,0.77715,0.82991,0.49066,1.44825,0.8829,1.2507,0.00029368,0.00029368,0.00029368
60,53946.2,1.22298,0.84536,1.14422,0.7983,0.79094,0.82793,0.4899,1.43871,0.87835,1.24655,0.000282146,0.000282146,0.000282146
61,54697,1.21495,0.83068,1.13871,0.81322,0.76192,0.8255,0.49051,1.44712,0.87671,1.24946,0.000270716,0.000270716,0.000270716
62,55514.5,1.21578,0.83128,1.13427,0.82054,0.7591,0.82547,0.48942,1.44945,0.88281,1.25328,0.000259403,0.000259403,0.000259403
63,56301.3,1.21806,0.83127,1.13477,0.80882,0.77556,0.83175,0.49143,1.45221,0.87436,1.2529,0.000248217,0.000248217,0.000248217
64,57136.7,1.2018,0.80035,1.12669,0.80756,0.78013,0.82661,0.48249,1.46661,0.87951,1.26557,0.000237169,0.000237169,0.000237169
65,57935.4,1.19817,0.80662,1.13366,0.81021,0.78042,0.82658,0.48683,1.45131,0.8761,1.25786,0.00022627,0.00022627,0.00022627
66,58786.3,1.18681,0.79619,1.12314,0.82224,0.77692,0.83674,0.49131,1.45113,0.86011,1.25471,0.000215531,0.000215531,0.000215531
67,59619,1.19527,0.80001,1.12668,0.81836,0.77443,0.82975,0.48999,1.45601,0.86078,1.25237,0.000204963,0.000204963,0.000204963
68,60375.5,1.19101,0.78005,1.12014,0.80654,0.77409,0.83197,0.49054,1.45311,0.86469,1.2548,0.000194576,0.000194576,0.000194576
69,61263,1.18104,0.79601,1.11856,0.81594,0.77152,0.82872,0.48879,1.4587,0.8665,1.25796,0.00018438,0.00018438,0.00018438
70,62143.6,1.17564,0.77277,1.11387,0.80779,0.77116,0.82639,0.48836,1.4505,0.86426,1.25169,0.000174385,0.000174385,0.000174385
71,62979.6,1.17053,0.76647,1.1133,0.80384,0.7901,0.83325,0.49166,1.46336,0.85886,1.26006,0.000164602,0.000164602,0.000164602
72,63873.5,1.17448,0.77134,1.11376,0.79775,0.78804,0.8339,0.49264,1.45846,0.85384,1.25676,0.000155039,0.000155039,0.000155039
73,64868.9,1.16874,0.75101,1.10856,0.81148,0.77772,0.83089,0.49464,1.4476,0.85026,1.24837,0.000145706,0.000145706,0.000145706
74,65723.4,1.15515,0.74475,1.11056,0.79957,0.78806,0.82892,0.49122,1.45421,0.85378,1.25347,0.000136613,0.000136613,0.000136613
75,66578.2,1.15714,0.74931,1.10535,0.80321,0.78154,0.82871,0.4924,1.44449,0.85417,1.24917,0.000127769,0.000127769,0.000127769
76,67476.7,1.14541,0.74487,1.09941,0.80787,0.78077,0.83732,0.49591,1.44629,0.84596,1.25294,0.000119181,0.000119181,0.000119181
77,68402.7,1.13851,0.74548,1.10014,0.81826,0.77216,0.83464,0.49608,1.44251,0.84904,1.25054,0.000110859,0.000110859,0.000110859
78,69303.6,1.13439,0.73131,1.0897,0.82309,0.77536,0.8308,0.49553,1.44799,0.84495,1.25072,0.000102811,0.000102811,0.000102811
79,70184,1.11774,0.71928,1.08593,0.81554,0.77995,0.82896,0.48962,1.46171,0.85203,1.25812,9.50453e-05,9.50453e-05,9.50453e-05
80,71068.2,1.12833,0.71784,1.09186,0.80373,0.7792,0.8286,0.48838,1.46309,0.84888,1.25845,8.75685e-05,8.75685e-05,8.75685e-05
81,71988.6,1.11718,0.62737,1.09399,0.80928,0.77811,0.82665,0.48675,1.46745,0.85467,1.26622,8.03886e-05,8.03886e-05,8.03886e-05
82,72902.9,1.11078,0.61528,1.09567,0.80949,0.77854,0.82989,0.48794,1.45609,0.8487,1.25822,7.35126e-05,7.35126e-05,7.35126e-05
83,73802,1.099,0.60825,1.08633,0.81379,0.77941,0.82944,0.48607,1.4706,0.85328,1.26586,6.69474e-05,6.69474e-05,6.69474e-05
84,74666.5,1.09099,0.599,1.08139,0.81424,0.78102,0.83071,0.48737,1.46616,0.8492,1.26367,6.06992e-05,6.06992e-05,6.06992e-05
85,75557.3,1.09109,0.59671,1.07996,0.82106,0.77962,0.8301,0.48383,1.46921,0.84801,1.26889,5.47745e-05,5.47745e-05,5.47745e-05
86,76437.2,1.09051,0.59971,1.08078,0.8173,0.77896,0.82814,0.48525,1.46198,0.84656,1.26522,4.91789e-05,4.91789e-05,4.91789e-05
